epoch,cps
0,14
1,8
2,4
3,2
4,3
5,5
6,5
7,4
8,6
9,8
10,8
11,5
12,9
13,4
14,3
15,4
16,6
17,1
18,1
19,9
20,5
21,5
22,4
23,0
24,3
25,0
26,1
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,1
36,0
37,0
38,0
39,0
40,0
41,1
42,1
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,1
51,0
52,0
53,1
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,2
67,1
68,1
69,0
70,1
71,0
72,1
73,0
74,3
75,0
76,1
77,0
78,0
79,0
80,0
81,1
82,2
83,0
84,1
85,1
86,1
87,0
88,0
89,0
90,0
91,0
92,0
93,2
94,1
95,0
96,1
97,0
98,1
99,1
100,0
101,0
102,0
103,1
104,0
105,0
106,0
107,1
108,0
109,0
110,0
111,2
112,1
113,1
114,0
115,0
116,0
117,1
118,0
119,0
120,0
121,0
122,0
123,0
124,1
125,1
126,0
127,0
128,0
129,0
130,0
131,1
132,0
133,0
134,0
135,2
136,0
137,0
138,0
139,0
140,1
141,0
142,1
143,0
144,0
145,0
146,0
147,1
148,0
149,0
150,2
151,1
152,1
153,0
154,0
155,0
156,0
157,1
158,0
159,0
160,0
161,0
162,0
163,1
164,0
165,0
166,1
167,1
168,0
169,0
170,2
171,0
172,5
173,3
174,2
175,6
176,11
177,2
178,3
179,4
180,1
181,2
182,1
183,1
184,2
185,2
186,4
187,0
188,0
189,0
190,1
191,0
192,0
193,0
194,0
195,0
196,0
197,1
198,0
199,0
200,1
201,2
202,3
203,6
204,6
205,11
206,3
207,0
208,2
209,0
210,1
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,1
222,0
223,1
224,0
225,2
226,0
227,1
228,0
229,0
230,1
231,0
232,0
233,1
234,0
235,0
236,0
237,1
238,0
239,2
240,2
241,1
242,2
243,0
244,0
245,0
246,0
247,0
248,1
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,2
257,1
258,0
259,1
260,0
261,0
262,0
263,0
264,1
265,1
266,2
267,0
268,0
269,0
270,1
271,1
272,0
273,0
274,1
275,2
276,2
277,0
278,0
279,2
280,0
281,0
282,0
283,0
284,0
285,0
286,1
287,0
288,0
289,0
290,0
291,0
292,1
293,0
294,0
295,1
296,2
297,0
298,0
299,0
300,1
301,1
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,1
318,0
319,2
320,1
321,0
322,0
323,1
324,1
325,0
326,0
327,2
328,3
329,3
